ramp number,stretch marker time,Stretch length,Stretch speed,Resting Discharge FPS,RD SD,Dynamic Peak,Dynamic Index,IST FPS,IST FPS SD,IST inst freq,FST FPS,FST SD,FST inst freq
42,9205.994443,5.00%,40%,26.96969696969796,0.0021599217652115317,204.08163265694012,163.52435618606364,40.0,0.0012191287871819562,40.55727647087646,36.0,0.0012425332544392861,35.61536875364723
43,9270.593564,5.00%,60%,26.363636363637333,0.00231420967471637,256.41025642977377,217.21942439662237,40.0,0.0011780704563913225,39.190832033151395,34.0,0.0015819538093772756,35.17673277402887
44,9334.676864,5.00%,60%,26.56565656565754,0.0020925964932112843,263.15789470842356,223.66363996619032,38.0,0.0011354706640856979,39.494254742233245,34.0,0.000991364094564472,34.448668836239555
45,9398.760164,5.00%,60%,26.767676767677752,0.0020906752406119724,259.74025979779,219.6596456728045,40.0,0.0012794627778684598,40.080614124985495,36.0,0.0013567731327697433,35.25106886597103
46,9463.453687,7.50%,20%,27.37373737373838,0.0027689601212652266,106.95187167549811,53.044874702140305,54.0,0.0012367819653254753,53.906996973357806,42.0,0.0009153887196348986,41.874264402667855
47,9527.953687,7.50%,20%,27.474747474748483,0.0029628621897889763,110.49723758430517,57.66617257927608,52.0,0.0011895765864445085,52.83106500502909,42.0,0.0009064770710622854,42.01439594937967
48,9592.453687,7.50%,20%,26.868686868687856,0.00208704913780779,82.98755187160947,30.83634929473736,52.0,0.001046153846133789,52.15120257687211,42.0,0.001049846117534003,42.39362509718794
49,9657.453745,7.50%,40%,27.57575757575859,0.003231729422129583,333.3333332654244,282.4830093811737,52.0,0.0010214942210810011,50.85032388425074,44.0,0.004235574082899956,56.48762688077974
50,9721.703745,7.50%,40%,27.37373737373838,0.002982865265577869,202.02020200131616,152.04644438338346,50.0,0.0011516145189808045,49.97375761793271,42.0,0.0008492159917553273,41.05368875750981
51,9785.953745,7.50%,40%,26.56565656565754,0.002600748157177735,210.52631578689383,160.9826852091623,48.0,0.0008136423591665514,49.54363057773154,40.0,0.0012229983645076715,40.84500798867205
52,9850.654828,7.50%,60%,26.666666666667645,0.0026009871499473166,263.1578948343923,213.89663864109355,50.0,0.0010036931801288296,49.261256193298784,42.0,0.0010337885763200198,41.99114726109559
53,9914.821428,7.50%,60%,28.080808080809113,0.0032101498375470927,270.27027032150494,218.99560273711248,52.0,0.0008787767183943289,51.27466758439246,42.0,0.0008443288202100138,43.0415061840871
54,9978.988028,7.50%,60%,27.57575757575859,0.0033946489264358574,263.15789470842356,213.33920711416596,50.0,0.0010007077496010115,49.81868759425759,42.0,0.0007476266300782671,41.75677167598862
55,11111.73066,2.50%,20%,27.37373737373838,0.002135162235231125,100.50251256622413,0.5006139739062547,100.0,4.3588989419248704e-05,100.00189859231787,104.0,0.0014413108734706677,110.52954054710457
56,11181.1907,2.50%,20%,26.363636363637333,0.00224204928253154,165.28925619946028,124.62935979560544,26.0,0.026839620099849387,40.659896403854844,28.0,0.026151751268184885,49.443686738763084
